Frame, Time_s             , Gust_Factor       , Drag_kN           , Lift_kN            , Moment_kNm        , C_D                , C_L                 , C_M
   39,  1.56              , 1.1291217181089066, 1729.059173662075 , -1953.6047246099806, 150150.31416251507, 0.15421691798346548, -0.1742444123234903 , 0.07440050840336264
   40,  1.6               , 0.9929891197401631, 1520.5950955481974, -1718.0683045045985, 132047.43642577244, 0.1356237500186601 , -0.15323662882202765, 0.06543040857580057
   41,  1.6400000000000001, 0.8621429139909561, 1320.2262347238232, -1491.678393081174 , 114647.54181288577, 0.1177526044576048 , -0.13304463369884995, 0.05680864169782699
   42,  1.68              , 0.7544706161483279, 1155.3442991908864, -1305.383942800586 , 100329.30748227025, 0.10304658148490144, -0.11642880215454961, 0.049713858582799565
   43,  1.72              , 0.681507224009388 , 1043.6131895186438, -1179.1427897697706,  90626.6544588449 , 0.09308114615510202, -0.10516919818052375, 0.04490612759781514
   44,  1.76              , 0.6485791787813951,  993.1894506434614, -1122.170734677856 ,  86247.89151730722, 0.08858379076033897, -0.10008779039454799, 0.04273642058890674
   45,  1.8               , 0.6564798527739965, 1005.2879982366297, -1135.8404691201267,  87298.5211022837 , 0.08966287512616955, -0.10130701085122822, 0.043257014739520774
   46,  1.84              , 0.7027208899232782, 1076.098335333434 , -1215.846643119686 ,  93447.64226770929, 0.09597853633359427, -0.10844286008172556, 0.04630394636595993
   47,  1.8800000000000001, 0.7814285770216615, 1196.6258623772965, -1352.02656678288  , 103914.17014977003, 0.10672853496638018, -0.12058891525349949, 0.05149018257190251
   48,  1.92              , 0.8825916238854705, 1351.5399796156332, -1527.0587206591515, 117366.8059680575 , 0.12054551594455384, -0.13620024870580488, 0.058156055699297826
   49,  1.96              , 0.9922551214312676, 1519.4711011292663, -1716.7983417174903, 131949.82952041595, 0.13552349957162013, -0.15312335927638987, 0.06538204368610516
   50,  2.0               , 1.0947085272982022, 1676.361185206155 , -1894.063072830139 , 145574.0569453428 , 0.14951671946661094, -0.16893381904305094, 0.07213294162908562
   51,  2.04              , 1.176219859494848 , 1801.182021110432 , -2035.093859090564 , 156413.4128277447 , 0.16064964360622144, -0.18151252862636924, 0.07750391666109799
   52,  2.08              , 1.2286210830361386, 1881.4256430530988, -2125.758378463253 , 163381.7139869879 , 0.1678066711113119 , -0.18959900881229313, 0.08095675758152587
   53,  2.12              , 1.2509728286479895, 1915.6535656744616, -2164.4313356212524, 166354.0433398596 , 0.1708595017003677 , -0.19304829750816913, 0.08242956712061573
   54,  2.16              , 1.24860055220142  , 1912.0208250348844, -2160.326826426388 , 166038.57863129894, 0.1705354930870116 , -0.19268221127612528, 0.08227325219825848
   55,  2.2               , 1.2301609645011042, 1883.7837113912142, -2128.4226790936   , 163586.4870260938 , 0.16801699013164267, -0.18983664106806106, 0.08105822402401557
   56,  2.24              , 1.2041688836618354, 1843.9812303150602, -2083.45121931592  , 160130.06683581517, 0.1644669578058784 , -0.1858255811634758 , 0.07934554416152763
   57,  2.2800000000000002, 1.1762987516029548, 1801.3028310470968, -2035.2303580991827, 156423.90387988478, 0.16066041879331627, -0.18152470314112135, 0.07750911504924164
   58,  2.32              , 1.148143046635289 , 1758.1871251099183, -1986.5153990585568, 152679.76551237324, 0.1568148758601439 , -0.1771797559251018 , 0.07565386886058639
   59,  2.36              , 1.117510613476067 , 1711.2787283302944, -1933.515208568568 , 148606.2724702566 , 0.15263105815795522, -0.1724526036365011 , 0.07363542517632601
   60,  2.4               , 1.0800110316866771, 1653.854453461124 , -1868.6334876878927, 143619.58777866274, 0.14750931633288936, -0.16666572301373492, 0.07116448877921476
   61,  2.44              , 1.0314524210110798, 1579.4951440063849, -1784.6174514050854, 137162.27628486953, 0.14087711790835483, -0.1591722292258504 , 0.06796484673559504
   62,  2.48              , 0.9703132955766139, 1485.870901370089 , -1678.8346271163632, 129032.01119087987, 0.1325266563580276 , -0.1497373287979825 , 0.06393624473219041
   63,  2.52              , 0.8993598245521686, 1377.2176463574613, -1556.0710366214507, 119596.6369576355 , 0.12283573867738506, -0.13878789291105906, 0.05926095221718732
   64,  2.56              , 0.8256904193866158, 1264.4053969986714, -1428.6083408974903, 109800.09850445658, 0.1127738751669261 , -0.12741933803923192, 0.054406700359141164
   65,  2.6               , 0.7592036060222964, 1162.592073659472 , -1313.5729548716693, 100958.69925209168, 0.10369301941936332, -0.11715919023042853, 0.050025726512752236
   66,  2.64              , 0.7103154499013881, 1087.728121023918 , -1228.986739547393 ,  94457.56489017831, 0.09701581124778709, -0.1096148414713472 , 0.04680436993802402
   67,  2.68              , 0.6880515833660447, 1053.6347703631961, -1190.465830637431 ,  91496.92167418121, 0.09397498329770004, -0.10617911414604447, 0.045337350959743776
   68,  2.72              , 0.6990881717497379, 1070.5354411099408, -1209.5613195153442,  92964.5643441578 , 0.09548237494404611, -0.10788226432563158, 0.04606457794831032
   69,  2.7600000000000002, 0.7473239065801267, 1144.4003207497553, -1293.0187164889028,  99378.93989152822, 0.1020704745642261 , -0.1153259323852536 , 0.04924294493659331
   70,  2.8000000000000003, 0.8330203126105595, 1275.6298902641538, -1441.2905112990716, 110774.82581038082, 0.11377500155039316, -0.12855047644239637, 0.05488968441095547
   71,  2.84              , 0.9510610159254925, 1456.3892872882773, -1645.524361373768 , 126471.84802016168, 0.12989715487529607, -0.14676634515654163, 0.06266766635751692
   72,  2.88              , 1.0891595338065743, 1667.8638390410667, -1884.4622125081619, 144836.15322540628, 0.1487588306930052 , -0.16807750648220943, 0.07176730528511775
   73,  2.92              , 1.2278115153874232, 1880.1859269558336, -2124.3576657162953, 163274.05789035908, 0.16769609930520663, -0.1894740775166461 , 0.08090341324877119
   74,  2.96              , 1.3434289666248   , 2057.2345227726155, -2324.398808634882 , 178648.83666534937, 0.18348728169854014, -0.20731599351391988, 0.08852172136773002
   75,  3.0               , 1.414369562836194 , 2165.868062183941 , -2447.1401231473183, 188082.4988092827 , 0.193176440920412  , -0.21826344257852118, 0.09319616553076072
   76,  3.04              , 1.4275803225584904, 2186.098109062447 , -2469.997360055657 , 189839.26222177866, 0.19498078372590227, -0.2203021076995975 , 0.09406665382619417
   77,  3.08              , 1.3827685080245473, 2117.4763849686724, -2392.4640249086897, 183880.19871024418, 0.1888603276086949 , -0.2133868140130199 , 0.0911138970681482
   78,  3.12              , 1.2920821486643421, 1978.605544860844 , -2235.558620236731 , 171820.75008765006, 0.17647426628388482, -0.19939222765527906, 0.08513835773218571
   79,  3.16              , 1.1755853705904689, 1800.2104085348267, -2033.996067327791 , 156329.03865727465, 0.16056298428352953, -0.18141461522651497, 0.07746210868211308
   80,  3.2               , 1.0548459185360721, 1615.3183337041032, -1825.0928461805217, 140273.13753782687, 0.14407223233339697, -0.1627822795535159 , 0.06950629977938846
   81,  3.24              , 0.947472462863546 , 1450.8940244725698, -1639.3154521801036, 125994.64316173192, 0.1294070256143335 , -0.14621256489588225, 0.06243120808383458
   82,  3.2800000000000002, 0.8643413873892831, 1323.5928253548102, -1495.4821884993457, 114939.89423702442, 0.11805287482378504, -0.13338389889865665, 0.056953504325056185
   83,  3.3200000000000003, 0.8095198210356097, 1239.642857252965 , -1400.629995576841 , 107649.73651632128, 0.1105652737383597 , -0.12492391494940833, 0.05334118127540905
   84,  3.36              , 0.7817392019251674, 1197.1015319445016, -1352.5640095309366, 103955.47696913246, 0.10677096052112714, -0.12063685043435411, 0.051510650383629925
   85,  3.4               , 0.7762335377955789, 1188.6705373779362, -1343.0381176069957, 103223.335176558  , 0.106018989728342  , -0.11978722439729816, 0.05114786911410869
   86,  3.44              , 0.7864295223795247, 1204.283965404912 , -1360.6791950353954, 104579.19457056529, 0.1074115706105666 , -0.12136065382779791, 0.05181970672430799
   87,  3.48              , 0.8055548975236925, 1233.5712466717507, -1393.7698907879865, 107122.48201275739, 0.11002373931010324, -0.12431205375130942, 0.05307992305998729
   88,  3.52              , 0.8282497856620104, 1268.324634106823 , -1433.0365526371356, 110140.44237008611, 0.11312343675329184, -0.12781429570006195, 0.05457534307411674
   89,  3.56              , 0.8519054409620603, 1304.5492741518692, -1473.9655324067598, 113286.16529619502, 0.11635435702941842, -0.13146480183219775, 0.05613407031557492
   90,  3.6               , 0.8772282221449492, 1343.3268358661576, -1517.7789709101053, 116653.58219120213, 0.11981297553454769, -0.13537257639258685, 0.057802648436053795
   91,  3.64              , 0.9077199472120517, 1390.0197619719065, -1570.535708467477 , 120708.36390760596, 0.12397757514186317, -0.14007801481418158, 0.05981182053034981
   92,  3.68              , 0.9482014531810279, 1452.010349998629 , -1640.576750147884 , 126091.58410568493, 0.12950659206336979, -0.14632506161560868, 0.06247924298509626
   93,  3.72              , 1.0028043035665035, 1535.6253915419163, -1735.050521026099 , 133352.65703348172, 0.13696432063639163, -0.15475129363649254, 0.06607715432078123
   94,  3.7600000000000002, 1.0728676676443256, 1642.9155981276865, -1856.2740498000803, 142669.6650750833 , 0.14653366634850112, -0.16556336952109557, 0.07069379557764269
   95,  3.8000000000000003, 1.1551149534998226, 1768.863422739043 , -1998.5781819912113, 153606.88788477326, 0.15776710799940066, -0.17825565039679733, 0.07611326434199733
   96,  3.84              , 1.2406113722312397, 1899.7867454879836, -2146.5039590727743, 164976.17954430543, 0.1694443204592457 , -0.19144933270641523, 0.08174682617883615
   97,  3.88              , 1.3152372383556656, 2014.0636532344972, -2275.6215221314   , 174899.90792852163, 0.17963681865583575, -0.20296548723469776, 0.08666410151828989
   98,  3.92              , 1.3623065853904577, 2086.1424069981736, -2357.0608366682645, 181159.1775283796 , 0.18606561150852946, -0.21022916003541586, 0.08976561244792472
   99,  3.96              , 1.3671619056286677, 2093.5775097548585, -2365.4615045544056, 181804.8367584118 , 0.18672875748380444, -0.21097842595420999, 0.09008554101575794
  100,  4.0               , 1.3223284617391902, 2024.922663956836 , -2287.8907463285223, 175842.8969807702 , 0.18060534720098764, -0.20405979445711686, 0.08713135904816866
  101,  4.04              , 1.23096801972282  , 1885.019580130943 , -2129.8190448430837, 163693.80902082974, 0.16812721878718917, -0.18996118464964765, 0.0811114028069955
  102,  4.08              , 1.1067664248402749, 1694.8258184036426, -1914.9256293014726, 147177.51304316183, 0.1511636028508162 , -0.17079457615840796, 0.07292746510075207
  103,  4.12              , 0.9700633474528956, 1485.4881480412641, -1678.4021672428419, 128998.77315400683, 0.1324925181170591 , -0.14969875716905162, 0.063919775057415
  104,  4.16              , 0.8420181726651885, 1289.4085929684475, -1456.8585954410923, 111971.35891423046, 0.11500394102061738, -0.12993901304765598, 0.055482574753838894
  105,  4.2               , 0.7395597011615194, 1132.510751724616 , -1279.5850997712669,  98346.45786224026, 0.10101002925434972, -0.114127771559342  , 0.048731343024037754
  106,  4.24              , 0.6731022159340506, 1030.7423394727284, -1164.6004572443942,  89508.95865793155, 0.09193317918199695, -0.10387214962572826, 0.04435230167815538
  107,  4.28              , 0.6470820133083263,  990.8967946311092, -1119.5803411934326,  86048.7988397604 , 0.08837930594593416, -0.09985675000818219, 0.04263776880445002
  108,  4.32              , 0.6616873606429999, 1013.2624168563498, -1144.8504915235285,  87991.01415240785, 0.09037412334773189, -0.10211062585017108, 0.043600149785773604
  109,  4.36              , 0.713902511719856 , 1093.2211002521474, -1235.1930685937987,  94934.57144343581, 0.097505736832769  , -0.11016839160549376, 0.04704072995013616
  110,  4.4               , 0.7972055520361958, 1220.7856344762747, -1379.323865589664 , 106012.18820838467, 0.10888337480589601, -0.12302359496566917, 0.05252976488027795
  111,  4.44              , 0.9008603941621581, 1379.5155152304615, -1558.6673199385332, 119796.18231642996, 0.12304068843325355, -0.1390194586188563 , 0.05935982830830073
  112,  4.48              , 1.0104073565702194, 1547.2681828664263, -1748.2053120741325, 134363.7090563001 , 0.1380027555391068 , -0.1559245856574056 , 0.06657813751844888
  113,  4.5200000000000005, 1.110186372685212 , 1700.0628908112462, -1920.8428179983464, 147632.29682342315, 0.1516307037911769 , -0.17132233750854484, 0.07315281357673609
  114,  4.5600000000000005, 1.1871839911083324, 1817.9717365534086, -2054.0639833719592, 157871.42021515113, 0.16214713901232217, -0.18320449738313768, 0.07822636930120028
  115,  4.6000000000000005, 1.2344018305625077, 1890.2778813731918, -2135.760219272946 , 164150.43629854897, 0.16859621315346685, -0.19049108531686135, 0.08133766474858814
  116,  4.64              , 1.2520896659827165, 1917.3638133901218, -2166.3636859239264, 166502.56007989586, 0.17101204080123536, -0.19322064621241367, 0.0825031581818582
  117,  4.68              , 1.2463722825397527, 1908.608606459945 , -2156.4714775575085, 165742.2639077645 , 0.1702311531082944 , -0.19233834796053362, 0.08212642622455787
  118,  4.72              , 1.226117928518051 , 1877.592484755655 , -2121.427424222859 , 163048.84514631264, 0.16746478700012646, -0.18921272566764727, 0.08079181879257953
  119,  4.76              , 1.1995175294461717, 1836.8584670668122, -2075.403453139945 , 159511.53095472985, 0.16383166977617825, -0.1851077909830034 , 0.07903905539874916
  120,  4.8               , 1.171602617863706 , 1794.111495522888 , -2027.105114457813 , 155799.41322932998, 0.16001901471783883, -0.18080000265005433, 0.07719967565743234
  121,  4.84              , 1.14326922532622  , 1750.7236910885183, -1978.082720647013 , 152031.64601472128, 0.15614920298446347, -0.17642763494810848, 0.07533272121330775
  122,  4.88              , 1.1118162786348311, 1702.5588164401638, -1923.6628788587282, 147849.04129522428, 0.1518533184731212 , -0.17157386221113372, 0.07326021194606729
  123,  4.92              , 1.072706235884255 , 1642.6683926571034, -1855.9947408078626, 142648.19792136402, 0.14651161778801075, -0.1655384576079575 , 0.07068315845603827
  124,  4.96              , 1.0220348114770124, 1565.0736658807857, -1768.323117335327 , 135909.9250037619 , 0.13959084850637393, -0.1577189174947608 , 0.06734429810382088
  125,  5.0               , 0.9589249817171511, 1468.4316224726585, -1659.1305833411268, 127517.59615806697, 0.13097122558713056, -0.14797990085733403, 0.06318584171769506
  126,  5.04              , 0.886916067832934 , 1358.162135011663 , -1534.5408671731918, 117941.86940619357, 0.12113615414314151, -0.1368675905717586 , 0.05844100356903856
  127,  5.08              , 0.8137188903160524, 1246.0730225254497, -1407.8952190276632, 108208.12766365003, 0.11113878810128727, -0.1255719091800939 , 0.05361786791093769
  128,  5.12              , 0.7494816128340883, 1147.704483385763 , -1296.751976654264 ,  99665.87111134868, 0.10236517690061984, -0.11565890645895927, 0.04938512131997625
  129,  5.16              , 0.7044961034393633, 1078.8167749542188, -1218.918114916388 ,  93683.7097021327 , 0.09622099731262118, -0.10871680843547525, 0.046420919395530606
  130,  5.2               , 0.6874351667962288, 1052.690832515094 , -1189.3993076011573,  91414.95075808915, 0.0938907923180507 , -0.10608398964243125, 0.04529673380975275
  131,  5.24              , 0.7045374568319273, 1078.8801006892818, -1218.989664494964 ,  93689.20886558478, 0.09622664541295181, -0.10872319003054098, 0.04642364426866131
  132,  5.28              , 0.7591745246192566, 1162.5475404033114, -1313.522638271195 , 100954.83201463385, 0.10368904744337924, -0.11715470243083975, 0.05002381027012175
  133,  5.32              , 0.850844614871864 , 1302.9247981954718, -1472.1300926764286, 113145.09691697586, 0.11620946801743437, -0.13130109670129897, 0.05606416996809924
  134,  5.36              , 0.9733281542773039, 1490.487648183226 , -1684.0509311757376, 129432.92632146682, 0.1329384296943467 , -0.15020257738377704, 0.06413490092354533
  135,  5.4               , 1.1130530409592314, 1704.4527090191016, -1925.8027232009438, 148013.50562938311, 0.15202223708560392, -0.17176471756440764, 0.07334170514935419
  136,  5.44              , 1.2495147780281186, 1913.4208074522799, -2161.9086185979086, 166160.1521453787 , 0.17066035924366518, -0.1928232932687477 , 0.08233349270662084
  137,  5.48              , 1.3589768088702538, 2081.043416742149 , -2351.299662263914 , 180716.38470756935, 0.18561082628539197, -0.20971531379224626, 0.08954620557442337
  138,  5.5200000000000005, 1.4208062734821858, 2175.724797212739 , -2458.276910375198 , 188938.45092690518, 0.19405557526160483, -0.2192567463524364 , 0.09362029566378942
  139,  5.5600000000000005, 1.4239120275296326, 2180.4807348948784, -2463.6504814289287, 189351.45329720472, 0.19447976320302013, -0.21973602177521812, 0.0938249411651556
  140,  5.6000000000000005, 1.3702471973311412, 2098.302112812286 , -2370.799671689165 , 182215.1180513669 , 0.18715015065143595, -0.21145454365783933, 0.09028883820467497
  141,  5.64              , 1.273695174470973 , 1950.4489999152918, -2203.745504715749 , 169375.65501299652, 0.17396294934996556, -0.19655477668666543, 0.08392679638672036
  142,  5.68              , 1.1550284138345979, 1768.7309018605206, -1998.4284511905917, 153595.37986246476, 0.15775528829897312, -0.1782422957222145 , 0.07610756203817436
  143,  5.72              , 1.0354701457068138, 1585.6476106811403, -1791.5689127239891, 137696.5522762067 , 0.14142586399121282, -0.15979223862542002, 0.06822958414626853
  144,  5.76              , 0.9316087548485457, 1426.6014354348063, -1611.8680880643524, 123885.09137113836, 0.12724033966841053, -0.14376450067391802, 0.0613859107323185
  145,  5.8               , 0.853121486411628 , 1306.4114423366125, -1476.0695324428186, 113447.87470569454, 0.11652044610409695, -0.13165246018764365, 0.056214198434836465
  146,  5.84              , 0.8030532471036778, 1229.740391646425 , -1389.4415389358508, 106789.81318665501, 0.10968206063059573, -0.12392600271687858, 0.05291508337963085
  147,  5.88              , 0.7794207324774739, 1193.5511876343207, -1348.5525971258471, 103647.1675013716 , 0.10645430093790616, -0.12027906761969005, 0.05135788093206454
  148,  5.92              , 0.7770405753252537, 1189.9063790252928, -1344.434452745736 , 103330.6548186109 , 0.10612921596748644, -0.11991176524867485, 0.051201046731318076
  149,  5.96              , 0.7891929680295029, 1208.515715600997 , -1365.460504606734 , 104946.67685866635, 0.10778900562427639, -0.12178710471927029, 0.05200179671337293
  150,  6.0               , 0.8092322852884164, 1239.202544828302 , -1400.1325016528451, 107611.50008699608, 0.11052600173071779, -0.12487954285339055, 0.05332223486296102
  151,  6.04              , 0.8321823859152047, 1274.3467470775306, -1439.8407317716137, 110663.39853506154, 0.11366055642868376, -0.12842116882014393, 0.054834471433347035
  152,  6.08              , 0.8559803492943696, 1310.7893079062565, -1481.0159327689855, 113828.04555274028, 0.11691091332799566, -0.13209363572693897, 0.05640257569170804
  153,  6.12              , 0.8818689179191564, 1350.4332775117994, -1525.8082958664554, 117270.70071549808, 0.12044680782040236, -0.1360887217779605 , 0.058108434888841744
  154,  6.16              , 0.9136954560630772, 1399.170244360527 , -1580.8745250326776, 121502.98552976825, 0.12479371793994119, -0.141000146601554  , 0.060205560983088324
  155,  6.2               , 0.9563128424260656, 1464.4315724056924, -1654.6110638078821, 127170.23455045425, 0.13061445619340264, -0.14757679934189724, 0.06301372166353238
  156,  6.24              , 1.0135272790917123, 1552.0458171731482, -1753.6033974006764, 134778.5955466153 , 0.13842887862919992, -0.1564060475383823 , 0.06678371661417908
  157,  6.28              , 1.086015687548327 , 1663.0495695728378, -1879.0227343677132, 144418.08536276247, 0.14832944006772097, -0.1675923527251626 , 0.07156014979762312
  158,  6.32              , 1.1695917755217524, 1791.0322301590386, -2023.6259580155247, 155532.01193455965, 0.15974437124623322, -0.1804896924004776 , 0.07706717648558846
  159,  6.36              , 1.25436284817486  , 1920.844807918607 , -2170.296742386527 , 166804.84726012178, 0.17132251499198461, -0.19357144036402882, 0.0826529435487292
  160,  6.4               , 1.325532302740994 , 2029.8288052401704, -2293.4340272854292, 176268.9429289017 , 0.18104293198665164, -0.20455420651525366, 0.08734246773163014
  161,  6.44              , 1.36639421563135  , 2092.401922206499 , -2364.1332484578816, 181702.74954103926, 0.18662390538198556, -0.21085995715648526, 0.09003495610079211
  162,  6.48              , 1.3631548129327486, 2087.441324191802 , -2358.5284387058373, 181271.97460766137, 0.18618146353335802, -0.21036005726930365, 0.08982150417277249
  163,  6.5200000000000005, 1.309966566679237 , 2005.992509913693 , -2266.502213801927 , 174199.01537161585, 0.1789169434390142 , -0.2021521248893631 , 0.08631680445893453
  164,  6.5600000000000005, 1.211880189163043 , 1855.789792052855 , -2096.7933086748076, 161155.51424776352, 0.1655201779759916 , -0.18701557855149453, 0.07985366037304147
  165,  6.6000000000000005, 1.08405607580816  , 1660.048755221462 , -1875.6322170367712, 144157.49670017313, 0.14806179373857334, -0.16728994830713453, 0.07143102633165545
  166,  6.640000000000001 , 0.9473929957646051, 1450.772334034573 , -1639.177958323195 , 125984.07564745937, 0.12939617189424008, -0.1462003016493855 , 0.06242597180818092
  167,  6.68              , 0.8226327176569741, 1259.7230433239815, -1423.3179098928676, 109393.48611895583, 0.11235625027379427, -0.12694747797986272, 0.05420522113898038
  168,  6.72              , 0.7256807170263645, 1111.2574320380618, -1255.571701973342 ,  96500.8341400783 , 0.09911441948638797, -0.11198598702407735, 0.04781682383694146
  169,  6.76              , 0.6658499544797258, 1019.6367261484202, -1152.0526052156467,  88544.55480466112, 0.09094265584694905, -0.10275299124372357, 0.04387443296779211
  170,  6.8               , 0.6467403062659821,  990.3735280188438, -1118.9891201747862,  86003.35872561093, 0.08833263515209643, -0.09980401827711621, 0.0426152529168644
  171,  6.84              , 0.6679660923128945, 1022.8772337699562, -1155.7139437609083,  88825.9582666312 , 0.09123168071417598, -0.10307955053952167, 0.04401387030932427
  172,  6.88              , 0.7259731494803521, 1111.705242942001 , -1256.0776681721823,  96539.72173220706, 0.09915436029263501, -0.11203111477272674, 0.04783609290501568
  173,  6.92              , 0.8135671701437601, 1245.8406887110132, -1407.6327130102381, 108187.95195436278, 0.11111806596213117, -0.12554849594497966, 0.05360787070888892
